ticker,fecha_earnings,precio_antes,precio_despues,retorno_pct,direccion,momentum_5d,momentum_20d,volatility_20d
NFLX,2022-10-18,24.51,27.24,11.13,SUBE,6.5745,0.6034,4.1022
NFLX,2023-01-19,32.63,34.25,4.96,SUBE,-0.3694,12.2528,2.3579
NFLX,2023-04-18,33.27,32.31,-2.89,BAJA,-1.8496,9.6277,2.8974
NFLX,2023-07-19,47.48,43.74,-7.87,BAJA,7.8576,9.9176,1.9326
NFLX,2023-10-18,35.57,40.18,12.95,SUBE,-4.7145,-10.2171,1.3926
NFLX,2024-01-23,48.57,54.49,12.18,SUBE,-1.3106,-0.7276,1.4727
NFLX,2024-04-18,61.37,55.5,-9.56,BAJA,-0.7905,-1.1357,1.6263
NFLX,2024-07-17,65.63,64.3,-2.02,BAJA,-4.2902,-1.9511,1.3749
NFLX,2024-10-16,70.6,68.76,-2.6,BAJA,-2.1863,-0.1316,1.4053
TSLA,2019-07-24,17.34,15.25,-12.05,BAJA,3.0866,16.3343,1.7843
TSLA,2019-10-23,17.04,19.98,17.25,SUBE,-0.8957,14.502,2.1737
TSLA,2020-01-29,37.79,42.72,13.04,SUBE,3.6001,31.7208,3.3375
TSLA,2020-04-29,51.27,52.13,1.66,SUBE,11.9991,53.1715,6.1064
TSLA,2020-10-21,140.65,141.93,0.91,SUBE,-5.5323,-0.5398,3.1151
TSLA,2021-01-27,294.36,278.48,-5.4,BAJA,4.5634,33.4436,3.5835
TSLA,2021-04-26,243.13,234.91,-3.38,BAJA,-1.4031,13.8993,3.3468
TSLA,2021-07-26,214.46,214.93,0.22,SUBE,-0.1304,-5.3602,1.8421
TSLA,2021-10-20,288.09,298.0,3.44,SUBE,7.2668,16.8912,1.3802
TSLA,2022-01-26,306.13,276.37,-9.72,BAJA,-10.8791,-16.0466,4.4581
TSLA,2022-04-20,342.72,336.26,-1.88,BAJA,5.3508,11.6147,3.4267
TSLA,2022-07-20,245.53,271.71,10.66,SUBE,5.346,13.2727,2.8671
TSLA,2022-10-19,220.19,207.28,-5.86,BAJA,1.7044,-28.6788,4.1083
TSLA,2023-01-25,143.89,160.27,11.38,SUBE,9.4304,14.7906,5.6544
TSLA,2023-04-19,184.31,162.99,-11.57,BAJA,-1.3277,0.5784,2.7395
TSLA,2023-07-19,293.34,262.9,-10.38,BAJA,8.729,12.5892,3.1151
TSLA,2023-10-18,254.85,220.11,-13.63,BAJA,-3.3268,-4.3715,2.2635
TSLA,2024-01-24,209.14,182.63,-12.68,BAJA,-4.8975,-17.8232,1.7651
TSLA,2024-04-23,142.05,162.13,14.14,SUBE,-12.0324,-16.8472,2.8842
TSLA,2024-07-23,251.51,215.99,-14.12,BAJA,-0.4473,37.4296,4.1531
TSLA,2024-10-23,217.97,260.48,19.5,SUBE,-0.7287,-14.2762,2.7189
AMZN,2020-04-30,118.64,114.3,-3.65,BAJA,0.3901,21.6949,2.5376
AMZN,2020-07-30,151.68,158.23,4.32,SUBE,-2.1414,9.9575,2.9717
AMZN,2020-10-29,158.14,151.81,-4.0,BAJA,-0.6958,0.4462,2.3732
AMZN,2021-02-04,165.63,167.61,1.2,SUBE,2.4733,2.9212,1.8919
AMZN,2021-04-29,172.93,173.37,0.26,SUBE,2.8697,13.1971,1.2626
AMZN,2021-08-05,167.74,167.25,-0.29,BAJA,-7.5916,-9.248,1.9456
AMZN,2021-10-28,169.62,168.62,-0.59,BAJA,-0.6609,2.7678,1.4875
AMZN,2022-02-03,150.61,157.64,4.67,SUBE,8.4538,-10.0939,2.3457
AMZN,2022-04-28,138.17,124.28,-10.05,BAJA,-10.28,-18.3965,2.3753
AMZN,2022-07-28,120.97,134.95,11.56,SUBE,-1.4662,12.635,2.8224
AMZN,2022-10-27,115.66,103.41,-10.59,BAJA,0.5127,-1.9914,2.9592
AMZN,2023-02-02,105.15,103.39,-1.67,BAJA,8.2013,22.5239,2.3419
AMZN,2023-04-27,104.98,105.45,0.45,SUBE,0.652,7.9597,2.0689
AMZN,2023-08-03,128.21,139.57,8.86,SUBE,0.0468,-1.6644,1.8071
AMZN,2023-10-26,121.39,127.74,5.23,SUBE,-5.2603,-3.6434,2.1668
AMZN,2024-02-01,155.2,171.81,10.7,SUBE,-1.0646,3.515,1.3957
AMZN,2024-05-02,179.0,186.21,4.03,SUBE,1.3647,-1.8694,1.8535
AMZN,2024-08-01,186.98,167.9,-10.2,BAJA,3.401,-6.51,1.5632
AMZN,2024-10-31,192.73,197.93,2.7,SUBE,4.3419,4.3137,1.3183
NVDA,2019-08-15,3.73,3.96,6.32,SUBE,-2.4823,-11.5727,2.6465
NVDA,2019-11-14,5.19,5.08,-2.1,BAJA,0.4528,7.3941,1.6511
NVDA,2020-02-13,6.78,7.21,6.33,SUBE,8.6856,10.2151,2.1673
NVDA,2020-05-21,8.93,8.99,0.63,SUBE,15.2957,25.3888,2.4249
NVDA,2020-08-19,12.22,12.1,-0.98,BAJA,13.0023,18.708,2.5259
NVDA,2020-11-18,13.38,13.4,0.13,SUBE,5.1077,-1.6361,3.7278
NVDA,2021-02-24,14.1,13.27,-5.9,BAJA,-7.751,3.5798,2.6205
NVDA,2021-05-26,15.61,15.45,-1.02,BAJA,11.644,1.7293,2.4481
NVDA,2021-08-25,21.74,22.02,1.26,SUBE,12.0002,13.458,2.3466
NVDA,2021-11-17,30.14,31.61,4.87,SUBE,-1.4809,35.5002,3.3591
NVDA,2022-02-16,26.44,24.46,-7.5,BAJA,5.5241,2.2854,4.4549
NVDA,2022-05-25,16.12,17.82,10.51,SUBE,-11.1295,-14.0196,5.3809
NVDA,2022-08-24,17.15,17.88,4.26,SUBE,-8.9941,3.9194,3.2106
NVDA,2022-11-16,16.64,15.66,-5.93,BAJA,14.1351,39.2663,4.1919
NVDA,2023-02-22,20.63,23.64,14.57,SUBE,-5.2001,7.6174,3.6475
NVDA,2023-05-24,30.66,37.95,23.76,SUBE,5.0491,16.9468,2.271
NVDA,2023-08-23,45.63,47.13,3.27,SUBE,3.9326,-0.0241,3.3353
NVDA,2023-11-21,50.37,48.68,-3.36,BAJA,3.6796,17.2984,2.1718
NVDA,2024-02-21,69.41,78.49,13.08,SUBE,-3.87,16.4247,2.464
NVDA,2024-05-22,95.33,103.74,8.82,SUBE,4.4113,15.7274,2.5971
NVDA,2024-08-28,128.24,117.53,-8.35,BAJA,0.8251,23.6865,4.1267
AMD,2020-10-27,82.23,76.4,-7.09,BAJA,0.2805,3.46,2.443
AMD,2021-01-26,94.13,88.84,-5.62,BAJA,6.7113,2.8181,2.2674
AMD,2021-04-27,85.41,84.02,-1.63,BAJA,5.3014,10.3346,2.8449
AMD,2021-07-27,91.82,97.93,6.65,SUBE,6.0522,7.2413,2.0467
AMD,2021-10-26,122.36,122.28,-0.07,BAJA,5.0932,13.1287,1.7602
AMD,2022-02-01,114.25,122.76,7.45,SUBE,-1.9566,-20.6046,3.879
AMD,2022-05-03,89.84,99.42,10.66,SUBE,-0.9373,-16.9609,3.5175
AMD,2022-08-02,96.78,98.09,1.35,SUBE,10.5552,31.3696,2.7166
AMD,2022-11-01,60.06,58.63,-2.38,BAJA,2.3169,-9.1514,4.1743
AMD,2023-01-31,72.45,84.64,16.83,SUBE,-5.3312,11.7711,3.2326
AMD,2023-04-25,87.57,85.94,-1.86,BAJA,-2.5593,-10.5972,1.5897
AMD,2023-08-01,114.4,109.35,-4.41,BAJA,3.4265,0.4302,1.944
AMD,2023-10-31,96.18,108.04,12.33,SUBE,-3.8296,-6.8655,2.5053
AMD,2024-01-30,177.83,167.69,-5.7,BAJA,5.7379,19.5415,3.6025
AMD,2024-04-30,160.2,144.27,-9.94,BAJA,7.7772,-12.6214,3.2322
AMD,2024-07-30,139.75,144.48,3.38,SUBE,-10.3419,-13.8463,3.7587
AMD,2024-10-29,159.92,148.6,-7.08,BAJA,1.2793,-2.5354,2.3358
JPM,2020-10-13,89.11,87.18,-2.17,BAJA,3.433,0.8984,1.5037
JPM,2021-01-15,123.69,120.94,-2.22,BAJA,3.9008,18.1738,1.7016
JPM,2021-04-14,135.8,134.11,-1.25,BAJA,1.0161,-0.2397,1.3258
JPM,2021-07-13,140.05,137.5,-1.82,BAJA,1.2626,-0.8606,1.5377
JPM,2021-10-13,147.46,145.77,-1.14,BAJA,-1.9566,5.9123,1.573
JPM,2022-01-14,150.91,135.7,-10.08,BAJA,1.6373,7.1536,1.3768
JPM,2022-04-13,118.87,113.98,-4.12,BAJA,-1.3499,0.0265,1.2711
JPM,2022-07-14,102.03,102.98,0.93,SUBE,0.0179,-2.6641,1.4684
JPM,2022-10-14,100.61,106.58,5.93,SUBE,1.1374,-6.3812,2.5272
JPM,2023-01-13,129.26,130.47,0.94,SUBE,3.0587,4.8034,0.9509
JPM,2023-04-14,120.47,130.59,8.4,SUBE,1.0814,1.3584,1.5611
JPM,2023-07-14,139.99,144.23,3.03,SUBE,3.9522,5.5431,1.1564
JPM,2023-10-13,138.12,140.06,1.4,SUBE,2.0364,-1.584,0.8352
JPM,2024-01-12,162.32,160.12,-1.36,BAJA,-0.6476,6.7469,0.7335
JPM,2024-04-12,187.36,175.33,-6.42,BAJA,-0.1125,2.7119,0.9385
JPM,2024-07-12,199.98,202.49,1.25,SUBE,-0.0434,7.3264,0.8995
JPM,2024-10-11,206.44,214.82,4.06,SUBE,4.3436,3.6516,1.1607
V,2020-04-30,174.14,168.18,-3.42,BAJA,9.1242,12.829,4.0296
V,2020-07-28,188.94,190.54,0.85,SUBE,-0.786,4.0366,1.3075
V,2020-10-28,182.64,177.65,-2.73,BAJA,-3.8644,-4.7032,1.1963
V,2021-01-28,187.64,185.98,-0.88,BAJA,-5.359,-8.3055,1.505
V,2021-04-28,221.61,228.31,3.02,SUBE,2.9694,7.1792,0.9047
V,2021-07-27,241.57,238.37,-1.32,BAJA,4.093,5.4483,1.2087
V,2021-10-26,226.07,208.58,-7.74,BAJA,1.4004,1.8641,1.5438
V,2022-01-27,199.35,220.78,10.75,SUBE,-4.1038,-5.5859,1.4351
V,2022-04-26,203.63,207.66,1.98,SUBE,-1.5105,-3.8822,1.7235
V,2022-07-26,208.22,204.52,-1.77,BAJA,3.4072,4.2626,1.306
V,2022-10-25,185.65,197.93,6.62,SUBE,2.9474,5.6038,1.4434
V,2023-01-26,219.42,225.8,2.91,SUBE,2.4788,9.2649,1.1455
V,2023-04-25,227.53,223.03,-1.98,BAJA,-0.3084,5.3022,0.8848
V,2023-07-25,235.79,232.23,-1.51,BAJA,-1.332,4.8747,0.8962
V,2023-10-24,227.2,232.42,2.3,SUBE,-3.5573,-0.7842,0.8626
V,2024-01-23,266.69,267.14,0.17,SUBE,2.6612,5.4801,0.4591
V,2024-04-23,268.31,270.96,0.99,SUBE,0.3871,-3.8586,0.679
V,2024-07-23,264.24,250.88,-5.06,BAJA,-0.2757,-2.7287,1.1828
V,2024-10-22,283.7,280.65,-1.08,BAJA,2.1982,-0.6167,1.0257
MA,2020-10-28,307.27,284.08,-7.55,BAJA,-4.4043,-5.5768,1.4858
MA,2021-01-28,306.08,306.86,0.25,SUBE,-5.7986,-8.2968,1.9952
MA,2021-04-29,384.31,371.11,-3.43,BAJA,3.2759,10.5861,1.034
MA,2021-07-29,372.89,375.32,0.65,SUBE,0.8893,4.3184,1.9016
MA,2021-10-28,326.89,326.7,-0.06,BAJA,-5.9002,-4.8263,2.3198
MA,2022-01-27,336.04,372.94,10.98,SUBE,-4.4548,-4.3427,1.5346
MA,2022-04-26,346.21,353.02,1.97,SUBE,-0.6166,1.7398,1.9675
MA,2022-07-26,336.58,335.66,-0.27,BAJA,3.9878,4.3079,1.422
MA,2022-10-27,312.93,322.69,3.12,SUBE,7.3045,10.2851,1.9075
MA,2023-01-26,375.13,366.93,-2.19,BAJA,3.6512,11.4699,1.5365
MA,2023-04-25,368.19,360.36,-2.13,BAJA,0.5285,6.7366,0.7774
MA,2023-07-25,398.3,395.96,-0.59,BAJA,0.6439,6.7311,0.887
MA,2023-10-25,381.26,359.26,-5.77,BAJA,-3.6986,-2.0004,0.943
MA,2024-01-25,432.97,432.81,-0.04,BAJA,2.6391,3.6056,0.6383
MA,2024-04-29,457.02,445.93,-2.43,BAJA,1.5437,-3.8436,0.8332
MA,2024-07-25,428.03,433.7,1.33,SUBE,-4.1471,-4.9511,1.2495
MA,2024-10-29,503.68,509.11,1.08,SUBE,-1.3204,3.055,0.6796
