ticker,q,fecha_earnings,retorno_pct,retorno_5d,direccion,target,eps_surprise_pct,eps_surprise_trend,eps_surprise_zscore,momentum_5d,momentum_20d,volatility_20d,momentum_agreement,score_positivo,score_negativo,score_neutral,polaridad,kw_positivos,kw_negativos,kw_ratio,kw_cat_enc,uncertainty_score,forward_guidance_score,text_length_log,question_density,negative_words_score,tiene_transcripcion
AMZN,2020-Q4,2020-10-29,-4.0,3.4565,BAJA,1,63.1579,265.3226,-0.003225206014679341,-0.6958,0.4462,2.3732,0,0.1206,0.3612,0.5182,-0.2406,0.0,1.0,-0.5,-1,1.4765,0.2685,6.6147,0.0,0.0,1
AMZN,2021-Q1,2021-02-04,1.2,-2.0675,SUBE,0,100.0,306.57895,0.16845482316754024,2.4733,2.9212,1.8919,1,0.2071,0.0181,0.7747,0.189,1.0,0.0,0.5,1,0.8439,0.1406,6.5681,0.0,0.2813,1
AMZN,2021-Q2,2021-04-29,0.26,-4.7515,SUBE,0,68.0851,81.57894999999999,0.019734990059557256,2.8697,13.1971,1.2626,1,0.5344,0.0243,0.4413,0.5101,2.0,1.0,0.25,1,1.3043,0.2899,6.5381,0.075,0.1449,1
AMZN,2021-Q3,2021-08-05,-0.29,-2.1472,BAJA,0,24.5902,84.04255,-0.18294633650102757,-7.5916,-9.248,1.9456,1,0.5994,0.0186,0.382,0.5808,1.0,0.0,0.5,1,0.7353,0.4412,6.5236,0.0938,0.0,1
AMZN,2021-Q4,2021-10-28,-0.59,0.8829,BAJA,0,-29.5455,46.33765,-0.43521259048220357,-0.6609,2.7678,1.4875,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2022-Q1,2022-02-03,4.67,14.5183,SUBE,1,672.2222,-2.4776500000000006,2.8349457125227584,8.4538,-10.0939,2.3457,0,0.1131,0.0668,0.82,0.0463,0.0,0.0,0.0,0,1.3774,0.2755,6.5889,0.0667,0.0,1
AMZN,2022-Q2,2022-04-28,-10.05,-19.4953,BAJA,0,-190.4762,321.33835000000005,-1.1851314950048835,-10.28,-18.3965,2.3753,1,0.5041,0.0154,0.4805,0.4887,1.0,1.0,0.0,0,1.1127,0.1391,6.5793,0.0213,0.4172,1
AMZN,2022-Q3,2022-07-28,11.56,16.5931,SUBE,1,-266.6667,240.87300000000002,-1.5401706285886883,-1.4662,12.635,2.8224,0,0.3186,0.0216,0.6598,0.297,0.0,1.0,-0.5,-1,1.2431,0.2762,6.5862,0.0204,0.0,1
AMZN,2022-Q4,2022-10-27,-10.59,-19.5205,BAJA,0,33.3333,-228.57145,-0.14220447696687874,0.5127,-1.9914,2.9592,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2023-Q1,2023-02-02,-1.67,-12.9927,BAJA,0,-82.3529,-116.66669999999999,-0.6812891163327154,8.2013,22.5239,2.3419,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2023-Q2,2023-04-27,0.45,-5.2996,SUBE,0,47.619,-24.5098,-0.07563472679279978,0.652,7.9597,2.0689,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2023-Q3,2023-08-03,8.86,7.4858,SUBE,1,91.1765,-17.366950000000003,0.1273383087047568,0.0468,-1.6644,1.8071,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2023-Q4,2023-10-26,5.23,15.4721,SUBE,1,59.322,69.39775,-0.021100067218032984,-5.2603,-3.6434,2.1668,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2024-Q1,2024-02-01,10.7,6.6298,SUBE,1,25.0,75.24925,-0.18103671473791216,-1.0646,3.515,1.3957,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2024-Q2,2024-05-02,4.03,2.5877,SUBE,0,18.0723,42.161,-0.2133190150998802,1.3647,-1.8694,1.8535,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2024-Q3,2024-08-01,-10.2,-9.9256,BAJA,0,23.5294,21.53615,-0.18788954481316228,3.401,-6.51,1.5632,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2024-Q4,2024-10-31,2.7,12.6878,SUBE,1,25.4386,20.800849999999997,-0.17899288822424106,4.3419,4.3137,1.3183,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2020-Q2,2020-04-28,5.61,9.446,SUBE,1,-3.9216,0.0,-0.8469208407699739,0.7699,14.4651,2.9653,1,0.1431,0.0154,0.8416,0.1277,1.0,0.0,0.5,1,1.264,0.1404,6.5695,0.0286,0.0,1
